code10,univtxt
1125010620,千葉大 文 人文／歴史学 後
1125010710,千葉大 文 人文／日本ユ 前
1125010810,千葉大 文 人文／国際言 前
1125140010,千葉大 法政経  前
1125140020,千葉大 法政経  後
1125140110,千葉大 法政経 法政経 前
1125140120,千葉大 法政経 法政経 後
1125300010,千葉大 教育  前
1125305310,千葉大 教育 学校／小学校 前
1125305410,千葉大 教育 学校／国語 前
1125305510,千葉大 教育 学校／社会 前
1125305610,千葉大 教育 学校／数学 前
1125305710,千葉大 教育 学校／理科 前
1125305810,千葉大 教育 学校／技術 前
1125305910,千葉大 教育 学校／特別支 前
1125306010,千葉大 教育 学校／乳幼児 前
1125306110,千葉大 教育 学校／養護教 前
1125306210,千葉大 教育 学校／音楽 前
1125306310,千葉大 教育 学校／図・美 前
1125306410,千葉大 教育 学校／保健体 前
1125306510,千葉大 教育 学校／家庭 前
1125306610,千葉大 教育 学校／英語教 前
1125370010,千葉大 国際教養  前
1125370110,千葉大 国際教養 国際教養 前
1125420010,千葉大 理  前
1125420020,千葉大 理  後
1125420110,千葉大 理 化学 前
1125420120,千葉大 理 化学 後
1125420210,千葉大 理 数学・情報数 前
1125420220,千葉大 理 数学・情報数 後
1125420310,千葉大 理 生物 前
1125420320,千葉大 理 生物 後
1125420410,千葉大 理 地球科学 前
1125420420,千葉大 理 地球科学 後
1125420510,千葉大 理 物理 前
1125420520,千葉大 理 物理 後
1125460010,千葉大 工  前
1125460020,千葉大 工  後
1125462410,千葉大 工 総合／建築学 前
1125462420,千葉大 工 総合／建築学 後
1125462510,千葉大 工 総合／都市工 前
1125462520,千葉大 工 総合／都市工 後
1125462610,千葉大 工 総合／デザイ 前
1125462710,千葉大 工 総合／機械工 前
1125462720,千葉大 工 総合／機械工 後
1125462810,千葉大 工 総合／医工学 前
1125462820,千葉大 工 総合／医工学 後
1125462910,千葉大 工 総合／電気電 前
1125462920,千葉大 工 総合／電気電 後
1125463010,千葉大 工 総合／物質科 前
1125463110,千葉大 工 総合／共生応 前
1125463120,千葉大 工 総合／共生応 後
1125470010,千葉大 情報デー  前
1125470110,千葉大 情報デー 情報・データ 前
1125550010,千葉大 医  前
1125550020,千葉大 医  後
1125550111,千葉大 医 医 前
1125550112,千葉大 医 医 前
1125550120,千葉大 医 医 後
1125610010,千葉大 薬  前
1125610020,千葉大 薬  後
1125610220,千葉大 薬 薬科学 後
1125640010,千葉大 看護  前
1125640110,千葉大 看護 看護 前
1125740010,千葉大 園芸  前
1125740020,千葉大 園芸  後
1125740310,千葉大 園芸 緑地環境 前
1125740320,千葉大 園芸 緑地環境 後
1125740410,千葉大 園芸 園芸 前
1125740420,千葉大 園芸 園芸 後
1125740510,千葉大 園芸 応用生命化 前
1125740520,千葉大 園芸 応用生命化 後
1125740610,千葉大 園芸 食料資源経済 前
1125740620,千葉大 園芸 食料資源経済 後
1070010010,東北大 文  前
1070010610,東北大 文 人文社会 前
1070120010,東北大 法  前
1070120110,東北大 法 法 前
1070180010,東北大 経済  前
1070180011,東北大 経済  前
1070180012,東北大 経済  前
1070180020,東北大 経済  後
1070180021,東北大 経済  後
1070180022,東北大 経済  後
1070300010,東北大 教育  前
1070300310,東北大 教育 教育科学 前
1070420010,東北大 理  前
1070420020,東北大 理  後
1070420310,東北大 理 化学系 前
1070420320,東北大 理 化学系 後
1070420510,東北大 理 数学系 前
1070420520,東北大 理 数学系 後
1070420710,東北大 理 生物系 前
1070420720,東北大 理 生物系 後
1070420810,東北大 理 地球科学系 前
1070420820,東北大 理 地球科学系 後
1070421210,東北大 理 物理系 前
1070421220,東北大 理 物理系 後
1070460010,東北大 工  前
1070461810,東北大 工 機械知能・航 前
1070461910,東北大 工 電気情報物理 前
1070462010,東北大 工 化学・バイオ 前
1070462110,東北大 工 材料科学総合 前
1070462210,東北大 工 建築・社会環 前
1070550010,東北大 医  前
1070550110,東北大 医 医 前
1070550310,東北大 医 保健／看護学 前
1070550410,東北大 医 保健／放射線 前
1070550510,東北大 医 保健／検査技 前
1070580010,東北大 歯  前
1070580110,東北大 歯 歯 前
1070610010,東北大 薬  前
1070720010,東北大 農  前
1075300010,宮城教育大 教育  前
1075300020,宮城教育大 教育  後
1075307811,宮城教育大 教育 学校／初等教 前
1075307812,宮城教育大 教育 学校／初等教 前
1075307820,宮城教育大 教育 学校／初等教 後
1075307910,宮城教育大 教育 学校／国語 前
1075308010,宮城教育大 教育 学校／社会 前
1075308110,宮城教育大 教育 学校／英語 前
1075308210,宮城教育大 教育 学校／数学 前
1075308310,宮城教育大 教育 学校／理科 前
1075308911,宮城教育大 教育 学校／特別支 前
1075308912,宮城教育大 教育 学校／特別支 前
1080310010,秋田大 教育文化  前
1080310020,秋田大 教育文化  後
1080311010,秋田大 教育文化 学校／特別支 前
1080311020,秋田大 教育文化 学校／特別支 後
1080311110,秋田大 教育文化 学校／こども 前
1080311120,秋田大 教育文化 学校／こども 後
1080311210,秋田大 教育文化 地域文化 前
1080311220,秋田大 教育文化 地域文化 後
1080311312,秋田大 教育文化 学校／初等中 前
1080311315,秋田大 教育文化 学校／初等中 前
1080311316,秋田大 教育文化 学校／初等中 前
1080311317,秋田大 教育文化 学校／初等中 前
1080311318,秋田大 教育文化 学校／初等中 前
1080311319,秋田大 教育文化 学校／初等中 前
1080311322,秋田大 教育文化 学校／初等中 後
1080311325,秋田大 教育文化 学校／初等中 後
1080311326,秋田大 教育文化 学校／初等中 後
1080311327,秋田大 教育文化 学校／初等中 後
1080311328,秋田大 教育文化 学校／初等中 後
1080311329,秋田大 教育文化 学校／初等中 後
1080370010,秋田大 国際資源  前
1080370020,秋田大 国際資源  後
1080370210,秋田大 国際資源 国際／資源政 前
1080370220,秋田大 国際資源 国際／資源政 後
